Location,Car Class,Rent Day,Return Day,Demand,Price
Fredericksburg,Compact,1,2,14,44
Fredericksburg,Compact,1,3,21,86
Fredericksburg,Compact,1,4,9,135
Fredericksburg,Midsize,1,2,10,63
Fredericksburg,Midsize,1,3,13,128
Fredericksburg,Midsize,1,4,12,195
Fredericksburg,Luxury,1,2,3,101
Fredericksburg,Luxury,1,3,6,214
Fredericksburg,Luxury,1,4,3,303
Fredericksburg,Compact,2,3,14,43
Fredericksburg,Compact,2,4,18,82
Fredericksburg,Compact,2,5,10,141
Fredericksburg,Midsize,2,3,10,55
Fredericksburg,Midsize,2,4,20,128
Fredericksburg,Midsize,2,5,19,195
Fredericksburg,Luxury,2,3,6,110
Fredericksburg,Luxury,2,4,3,202
Fredericksburg,Luxury,2,5,9,288
Fredericksburg,Compact,3,4,9,41
Fredericksburg,Compact,3,5,18,86
Fredericksburg,Compact,3,6,7,147
Fredericksburg,Midsize,3,4,11,56
Fredericksburg,Midsize,3,5,14,116
Fredericksburg,Midsize,3,6,20,174
Fredericksburg,Luxury,3,4,6,100
Fredericksburg,Luxury,3,5,5,206
Fredericksburg,Luxury,3,6,5,303
Fredericksburg,Compact,4,5,16,50
Fredericksburg,Compact,4,6,24,86
Fredericksburg,Compact,4,7,8,156
Fredericksburg,Midsize,4,5,7,59
Fredericksburg,Midsize,4,6,21,120
Fredericksburg,Midsize,4,7,18,168
Fredericksburg,Luxury,4,5,5,110
Fredericksburg,Luxury,4,6,6,202
Fredericksburg,Luxury,4,7,10,294
Fredericksburg,Compact,5,6,13,50
Fredericksburg,Compact,5,7,19,98
Fredericksburg,Compact,5,8,13,132
Fredericksburg,Midsize,5,6,12,59
Fredericksburg,Midsize,5,7,20,114
Fredericksburg,Midsize,5,8,7,192
Fredericksburg,Luxury,5,6,4,109
Fredericksburg,Luxury,5,7,10,192
Fredericksburg,Luxury,5,8,5,303
Fredericksburg,Compact,6,7,16,41
Fredericksburg,Compact,6,8,19,92
Fredericksburg,Compact,6,9,7,135
Fredericksburg,Midsize,6,7,8,61
Fredericksburg,Midsize,6,8,21,112
Fredericksburg,Midsize,6,9,17,195
Fredericksburg,Luxury,6,7,5,109
Fredericksburg,Luxury,6,8,4,198
Fredericksburg,Luxury,6,9,10,303
Fredericksburg,Compact,7,8,9,50
Fredericksburg,Compact,7,9,18,104
Fredericksburg,Compact,7,10,10,132
Fredericksburg,Midsize,7,8,8,63
Fredericksburg,Midsize,7,9,11,124
Fredericksburg,Midsize,7,10,10,168
Fredericksburg,Luxury,7,8,3,102
Fredericksburg,Luxury,7,9,8,216
Fredericksburg,Luxury,7,10,7,300
Charlottesville,Compact,1,2,13,49
Charlottesville,Compact,1,3,24,108
Charlottesville,Compact,1,4,11,174
Charlottesville,Midsize,1,2,11,71
Charlottesville,Midsize,1,3,25,156
Charlottesville,Midsize,1,4,14,219
Charlottesville,Luxury,1,2,7,120
Charlottesville,Luxury,1,3,10,260
Charlottesville,Luxury,1,4,12,360
Charlottesville,Compact,2,3,18,55
Charlottesville,Compact,2,4,23,118
Charlottesville,Compact,2,5,13,168
Charlottesville,Midsize,2,3,14,76
Charlottesville,Midsize,2,4,18,154
Charlottesville,Midsize,2,5,17,216
Charlottesville,Luxury,2,3,7,118
Charlottesville,Luxury,2,4,10,264
Charlottesville,Luxury,2,5,7,372
Charlottesville,Compact,3,4,52,72
Charlottesville,Compact,3,5,24,164
Charlottesville,Compact,3,6,23,219
Charlottesville,Midsize,3,4,70,97
Charlottesville,Midsize,3,5,14,206
Charlottesville,Midsize,3,6,8,288
Charlottesville,Luxury,3,4,23,187
Charlottesville,Luxury,3,5,10,400
Charlottesville,Luxury,3,6,11,573
Charlottesville,Compact,4,5,19,58
Charlottesville,Compact,4,6,22,110
Charlottesville,Compact,4,7,16,183
Charlottesville,Midsize,4,5,8,78
Charlottesville,Midsize,4,6,7,140
Charlottesville,Midsize,4,7,17,213
Charlottesville,Luxury,4,5,6,127
Charlottesville,Luxury,4,6,11,230
Charlottesville,Luxury,4,7,7,357
Charlottesville,Compact,5,6,14,55
Charlottesville,Compact,5,7,25,100
Charlottesville,Compact,5,8,10,168
Charlottesville,Midsize,5,6,8,71
Charlottesville,Midsize,5,7,19,134
Charlottesville,Midsize,5,8,17,228
Charlottesville,Luxury,5,6,7,132
Charlottesville,Luxury,5,7,12,242
Charlottesville,Luxury,5,8,10,378
Charlottesville,Compact,6,7,14,58
Charlottesville,Compact,6,8,22,106
Charlottesville,Compact,6,9,10,156
Charlottesville,Midsize,6,7,7,70
Charlottesville,Midsize,6,8,23,148
Charlottesville,Midsize,6,9,22,231
Charlottesville,Luxury,6,7,7,115
Charlottesville,Luxury,6,8,5,244
Charlottesville,Luxury,6,9,10,342
Charlottesville,Compact,7,8,16,49
Charlottesville,Compact,7,9,25,122
Charlottesville,Compact,7,10,16,162
Charlottesville,Midsize,7,8,13,70
Charlottesville,Midsize,7,9,8,152
Charlottesville,Midsize,7,10,14,210
Charlottesville,Luxury,7,8,6,118
Charlottesville,Luxury,7,9,4,236
Charlottesville,Luxury,7,10,10,378
Arlington,Compact,1,2,24,70
Arlington,Compact,1,3,27,126
Arlington,Compact,1,4,12,186
Arlington,Midsize,1,2,16,86
Arlington,Midsize,1,3,32,192
Arlington,Midsize,1,4,22,264
Arlington,Luxury,1,2,4,160
Arlington,Luxury,1,3,15,294
Arlington,Luxury,1,4,6,486
Arlington,Compact,2,3,20,66
Arlington,Compact,2,4,34,152
Arlington,Compact,2,5,20,186
Arlington,Midsize,2,3,12,86
Arlington,Midsize,2,4,28,176
Arlington,Midsize,2,5,15,258
Arlington,Luxury,2,3,9,150
Arlington,Luxury,2,4,6,300
Arlington,Luxury,2,5,15,432
Arlington,Compact,3,4,15,66
Arlington,Compact,3,5,27,126
Arlington,Compact,3,6,12,189
Arlington,Midsize,3,4,10,96
Arlington,Midsize,3,5,32,192
Arlington,Midsize,3,6,12,288
Arlington,Luxury,3,4,3,164
Arlington,Luxury,3,5,15,306
Arlington,Luxury,3,6,8,450
Arlington,Compact,4,5,14,74
Arlington,Compact,4,6,34,138
Arlington,Compact,4,7,18,186
Arlington,Midsize,4,5,14,94
Arlington,Midsize,4,6,16,172
Arlington,Midsize,4,7,15,270
Arlington,Luxury,4,5,8,165
Arlington,Luxury,4,6,12,312
Arlington,Luxury,4,7,12,432
Arlington,Compact,5,6,14,74
Arlington,Compact,5,7,33,128
Arlington,Compact,5,8,14,198
Arlington,Midsize,5,6,10,84
Arlington,Midsize,5,7,24,192
Arlington,Midsize,5,8,16,258
Arlington,Luxury,5,6,8,162
Arlington,Luxury,5,7,14,330
Arlington,Luxury,5,8,8,492
Arlington,Compact,6,7,18,62
Arlington,Compact,6,8,34,150
Arlington,Compact,6,9,14,207
Arlington,Midsize,6,7,16,87
Arlington,Midsize,6,8,20,172
Arlington,Midsize,6,9,27,246
Arlington,Luxury,6,7,6,164
Arlington,Luxury,6,8,12,308
Arlington,Luxury,6,9,8,444
Arlington,Compact,7,8,18,64
Arlington,Compact,7,9,36,124
Arlington,Compact,7,10,20,234
Arlington,Midsize,7,8,18,96
Arlington,Midsize,7,9,21,186
Arlington,Midsize,7,10,12,288
Arlington,Luxury,7,8,3,142
Arlington,Luxury,7,9,12,312
Arlington,Luxury,7,10,15,426