Car Class,Rent Day,Return Day,Demand,Price
Compact,1,2,16,50
Compact,1,3,20,102
Compact,1,4,7,129
Midsize,1,2,12,63
Midsize,1,3,21,110
Midsize,1,4,21,180
Luxury,1,2,3,100
Luxury,1,3,10,218
Luxury,1,4,4,324
Compact,2,3,10,41
Compact,2,4,20,90
Compact,2,5,12,144
Midsize,2,3,6,63
Midsize,2,4,11,128
Midsize,2,5,11,171
Luxury,2,3,3,95
Luxury,2,4,10,200
Luxury,2,5,9,306
Compact,3,4,14,60
Compact,3,5,20,132
Compact,3,6,17,198
Midsize,3,4,12,80
Midsize,3,5,19,162
Midsize,3,6,10,255
Luxury,3,4,5,164
Luxury,3,5,5,290
Luxury,3,6,10,483
Compact,4,5,14,51
Compact,4,6,19,84
Compact,4,7,7,129
Midsize,4,5,7,64
Midsize,4,6,13,128
Midsize,4,7,18,171
Luxury,4,5,5,110
Luxury,4,6,3,216
Luxury,4,7,9,294
Compact,5,6,10,51
Compact,5,7,20,94
Compact,5,8,8,123
Midsize,5,6,6,60
Midsize,5,7,8,112
Midsize,5,8,18,186
Luxury,5,6,5,100
Luxury,5,7,5,204
Luxury,5,8,3,327
Compact,6,7,16,44
Compact,6,8,20,82
Compact,6,9,10,144
Midsize,6,7,10,60
Midsize,6,8,13,124
Midsize,6,9,12,180
Luxury,6,7,6,101
Luxury,6,8,5,216
Luxury,6,9,9,285
Compact,7,8,15,46
Compact,7,9,19,88
Compact,7,10,9,126
Midsize,7,8,12,64
Midsize,7,9,12,114
Midsize,7,10,9,180
Luxury,7,8,6,101
Luxury,7,9,10,192
Luxury,7,10,9,330